"customer_id","segment","province_city"
1007745,"Regular","HO CHI MINH"
1007752,"Regular","HO CHI MINH"
1007773,"Regular","HO CHI MINH"
1007805,"Regular","HO CHI MINH"
1007836,"Regular","HO CHI MINH"
1007861,"Regular","HO CHI MINH"
1007876,"Regular","HO CHI MINH"
1031594,"Regular","HA NOI"
1603048,"Regular","HA NOI"
1019052,"Regular","PHU THO"
1019062,"Regular","BAC NINH"
1019081,"Regular","HA TINH"
1019121,"Regular","HO CHI MINH"
160338,"Regular","DONG NAI"
160343,"Regular","HAI DUONG"
1038861,"Regular","HA NOI"
1039052,"Regular","HA TINH"
103897,"Regular","QUANG NINH"
1039098,"Regular","NHA TRANG"
1603125,"Regular","HO CHI MINH"
1603244,"Regular","HO CHI MINH"
1603298,"Regular","HO CHI MINH"
1557950,"Regular","HO CHI MINH"
1558000,"Regular","HO CHI MINH"
1558115,"Regular","HO CHI MINH"
160329,"Regular","HO CHI MINH"
160341,"Regular","HA NOI"
1557834,"Regular","THAI NGUYEN"
1557841,"Regular","HO CHI MINH"
155778,"Regular","HO CHI MINH"
15569,"Regular","HO CHI MINH"
1558052,"Regular","HA NOI"
1558116,"Regular","THANH HOA"
1558124,"Regular","HO CHI MINH"
1558194,"Regular","THUA THIEN HUE"
1040952,"Regular","HO CHI MINH"
1040960,"Regular","NAM DINH"
1010078,"Regular","NAM DINH"
1010095,"Regular","HO CHI MINH"
1010097,"Regular","HO CHI MINH"
1010103,"Regular","HO CHI MINH"
1010119,"Regular","HAI PHONG"
1012745,"Regular","HO CHI MINH"
1012757,"Regular","HO CHI MINH"
1002819,"Regular","HA NOI"
100274,"Regular","HO CHI MINH"
1005380,"Regular","HO CHI MINH"
1031521,"Regular","HA NOI"
103149,"Regular","VINH PHUC"
1031612,"Regular","HA NOI"
1012159,"Regular","NGHE AN"
1005407,"Regular","HO CHI MINH"
1005409,"Regular","HO CHI MINH"
1005456,"Regular","HA NOI"
1005490,"Regular","THANH HOA"
1572991,"Regular","VINH PHUC"
1031861,"Regular","HA NOI"
10273,"Regular","HO CHI MINH"
102821,"Regular","NGHE AN"
1003304,"Regular","HO CHI MINH"
1003316,"Regular","HO CHI MINH"
1003326,"Regular","HO CHI MINH"
1003330,"Regular","HO CHI MINH"
1003354,"Regular","HO CHI MINH"
100335,"Regular","THUA THIEN HUE"
100337,"Regular","HAI PHONG"
1016385,"Regular","HO CHI MINH"
1016386,"Regular","HA NOI"
1016389,"Regular","HO CHI MINH"
1016423,"Regular","HO CHI MINH"
1016436,"Regular","HA NOI"
1016437,"Regular","QUANG NINH"
101636,"Regular","HO CHI MINH"
1016492,"Regular","HO CHI MINH"
1019847,"Regular","HO CHI MINH"
103600,"Regular","HA NOI"
103603,"Regular","NGHE AN"
1036141,"Regular","HO CHI MINH"
1036177,"Regular","HA NOI"
1003485,"Regular","HO CHI MINH"
1008310,"Regular","HO CHI MINH"
1008320,"Regular","HO CHI MINH"
1008322,"Regular","HO CHI MINH"
1008381,"Regular","HA NOI"
1036280,"Regular","HO CHI MINH"
103624,"Regular","THANH HOA"
1036354,"Regular","HO CHI MINH"
103631,"Regular","HO CHI MINH"
2126327,"Regular","HA NOI"
2126329,"Regular","HAI DUONG"
2126337,"Regular","HA NOI"
2126347,"Regular","HA NOI"
2115628,"Regular","HO CHI MINH"
2115664,"Regular","NAM DINH"
2115683,"Regular","HA NOI"
2170161,"Regular","HO CHI MINH"
2170170,"Regular","HO CHI MINH"
2115690,"Regular","HA NOI"
211568,"Regular","THANH HOA"
2115933,"Regular","HA NOI"
2115950,"Regular","THUA THIEN HUE"
2115952,"Regular","HA NOI"
2119359,"Regular","LONG AN"
2119363,"Regular","HO CHI MINH"
2119372,"Regular","THANH HOA"
2119488,"Regular","HAI DUONG"
2119498,"Regular","HA NOI"
2119534,"Regular","HA NOI"
2119553,"Regular","HAI PHONG"
2119580,"Regular","HA NOI"
2126142,"Regular","HO CHI MINH"
2126144,"Regular","HA NOI"
2132011,"Regular","HA NOI"
2132038,"Regular","HA NOI"
2132156,"Regular","HO CHI MINH"
2132165,"Regular","HAI DUONG"
2126162,"Regular","THUA THIEN HUE"
2126179,"Regular","DA NANG"
2126207,"Regular","HO CHI MINH"
2126214,"Regular","HO CHI MINH"
2126237,"Regular","HO CHI MINH"
2126239,"Regular","HO CHI MINH"
2234020,"Regular","HOA BINH"
2234026,"Regular","HA NOI"
2234038,"Regular","THANH HOA"
2240949,"Regular","HA NOI"
2152555,"Regular","HO CHI MINH"
2196798,"Regular","HA NOI"
1070869,"Regular","HA NOI"
1630622,"Regular","HO CHI MINH"
1076815,"Regular","HA NOI"
1022959,"Regular","HO CHI MINH"
1022968,"Regular","VINH PHUC"
1022981,"Regular","DA NANG"
1022986,"Regular","THANH HOA"
102295,"Regular","HA NOI"
1065492,"Regular","HA NOI"
1557267,"Regular","HO CHI MINH"
1557285,"Regular","QUANG NAM"
1557334,"Regular","HO CHI MINH"
155726,"Regular","HA NOI"
1030572,"Regular","HA NOI"
1030594,"Regular","HA NOI"
1664936,"Regular","HA NOI"
1665001,"Regular","HAI DUONG"
1665011,"Regular","BAC GIANG"
213221,"Regular","HO CHI MINH"
2161038,"Regular","HO CHI MINH"
2161047,"Regular","HA NOI"
2161162,"Regular","HA NOI"
216109,"Regular","HO CHI MINH"
2122791,"Regular","HA NOI"
2161586,"Regular","AN GIANG"
2161613,"Regular","DONG NAI"
216158,"Regular","HO CHI MINH"
2161693,"Regular","DA NANG"
2161710,"Regular","BINH THUAN"
2161725,"Regular","HA NOI"
2161727,"Regular","HA NOI"
2139337,"Regular","HA NOI"
2139348,"Regular","HA NOI"
2139352,"Regular","HA NOI"
2139383,"Regular","DONG NAI"
1012235,"Regular","HO CHI MINH"
1012299,"Regular","HO CHI MINH"
1012304,"Regular","CAN THO"
1012311,"Regular","HAI PHONG"
1012314,"Regular","HO CHI MINH"
1012328,"Regular","HO CHI MINH"
1012349,"Regular","THAI BINH"
1010476,"Regular","HA NOI"
1010544,"Regular","HO CHI MINH"
1010576,"Regular","HO CHI MINH"
1010581,"Regular","HO CHI MINH"
1028434,"Regular","HA NOI"
1028479,"Regular","HO CHI MINH"
1004699,"Regular","DA NANG"
1008274,"Regular","HA NOI"
1008293,"Regular","HA NOI"
1008321,"Regular","HO CHI MINH"
1008325,"Regular","HO CHI MINH"
1008334,"Regular","THANH HOA"
1012439,"Regular","HO CHI MINH"
1017360,"Regular","NAM DINH"
1017393,"Regular","NGHE AN"
1017412,"Regular","BAC GIANG"
102854,"Regular","HO CHI MINH"
1028833,"Regular","HA NOI"
1028854,"Regular","HA NOI"
1028870,"Regular","HO CHI MINH"
1028887,"Regular","HA NOI"
102884,"Regular","HA NOI"
1031812,"Regular","HO CHI MINH"
103173,"Regular","HA NOI"
1017563,"Regular","HO CHI MINH"
1017573,"Regular","HAI PHONG"
1017623,"Regular","VINH PHUC"
1017645,"Regular","THANH HOA"
1023327,"Regular","HA NOI"
1008183,"Regular","HO CHI MINH"
1008188,"Regular","HO CHI MINH"
100814,"Regular","NGHE AN"
1013193,"Regular","HA NOI"
1013215,"Regular","HO CHI MINH"
1051999,"Regular","HA NOI"
1052141,"Regular","HA NOI"
1630492,"Regular","HO CHI MINH"
1630497,"Regular","PHU THO"
1630521,"Regular","HA NOI"
1630597,"Regular","DONG NAI"
1622022,"Regular","HO CHI MINH"
162194,"Regular","HO CHI MINH"
1622042,"Regular","THANH HOA"
1622071,"Regular","HO CHI MINH"
1622083,"Regular","HA NOI"
1624168,"Regular","HOA BINH"
1624205,"Regular","HA NOI"
1086375,"Regular","HA NOI"
1086393,"Regular","HO CHI MINH"
1086406,"Regular","HA NOI"
108632,"Regular","THUA THIEN HUE"
1086410,"Regular","THAI BINH"
1044951,"Regular","HA NOI"
105146,"Regular","HA NOI"
1051555,"Regular","HA NOI"
1630624,"Regular","HO CHI MINH"
2162816,"Regular","HA NOI"
2162881,"Regular","GIA LAI"
2201041,"Regular","HA NOI"
2201061,"Regular","VINH PHUC"
2201079,"Regular","HO CHI MINH"
2095239,"Regular","HA NOI"
209524,"Regular","CAN THO"
2095339,"Regular","HA NOI"
2095372,"Regular","HO CHI MINH"
2193927,"Regular","HA NOI"
2194018,"Regular","HA NOI"
2194025,"Regular","No Info"
220079,"Regular","HO CHI MINH"
1022576,"Regular","HAI PHONG"
1022578,"Regular","HAI PHONG"
1022615,"Regular","HA NOI"
1022617,"Regular","HA NOI"
1022936,"Regular","HO CHI MINH"
102286,"Regular","HA NOI"
102288,"Regular","HO CHI MINH"
1022976,"Regular","HO CHI MINH"
1021417,"Regular","HA NOI"
1029770,"Regular","KIEN GIANG"
1042257,"Regular","HA NOI"
1036134,"Regular","HO CHI MINH"
10185,"Regular","HO CHI MINH"
2165640,"Regular","HA NOI"
2165642,"Regular","HA NOI"
2165649,"Regular","DA NANG"
2165652,"Regular","THUA THIEN HUE"
2165728,"Regular","LONG AN"
2165746,"Regular","HAI PHONG"
2165751,"Regular","QUANG NAM"
2165753,"Regular","HO CHI MINH"
2165780,"Regular","GIA LAI"
216575,"Regular","DONG THAP"
2255534,"Regular","HO CHI MINH"
2846007,"Regular","No Info"
2846010,"Regular","HA NOI"
2846021,"Regular","DONG NAI"
2846030,"Regular","No Info"
2846033,"Regular","QUANG NINH"
284597,"Regular","CAN THO"
2846094,"Regular","No Info"
2278410,"Regular","HO CHI MINH"
2278504,"Regular","HA NOI"
2106672,"Regular","HA NOI"
2106709,"Regular","HAI DUONG"
2106724,"Regular","HA NOI"
2106775,"Regular","QUANG NINH"
2117327,"Regular","HA NOI"
2117368,"Regular","QUANG NAM"
2215439,"Regular","HA NOI"
2154475,"Regular","THAI BINH"
21588,"Regular","DA NANG"
2159833,"Regular","HAI DUONG"
215979,"Regular","HAI PHONG"
2159887,"Regular","QUANG BINH"
2159900,"Regular","HA NOI"
2117430,"Regular","HA TINH"
2124270,"Regular","HA NOI"
2124309,"Regular","THANH HOA"
2124324,"Regular","HA NOI"
2124326,"Regular","HAI PHONG"
2124349,"Regular","HA NOI"
2124352,"Regular","HA NOI"
2124354,"Regular","HA NOI"
2165545,"Regular","HA NOI"
2165547,"Regular","HA NOI"
2158655,"Regular","HA NOI"
2158715,"Regular","THUA THIEN HUE"
2158744,"Regular","HO CHI MINH"
21578,"Regular","DA NANG"
2202622,"Regular","BAC GIANG"
2196387,"Regular","NGHE AN"
2196424,"Regular","DONG NAI"
2196517,"Regular","HO CHI MINH"
2838761,"Regular","HAI DUONG"
2838767,"Regular","HA NOI"
2838770,"Regular","HO CHI MINH"
2838812,"Regular","HA NOI"
2838869,"Regular","VINH LONG"
2838878,"Regular","HA NOI"
2838884,"Regular","HA NOI"
2838945,"Regular","VINH PHUC"
283888,"Regular","HO CHI MINH"
2838982,"Regular","No Info"
2839009,"Regular","HA NOI"
2839023,"Regular","HO CHI MINH"
2839025,"Regular","HA NOI"
2839075,"Regular","HO CHI MINH"
2839126,"Regular","HO CHI MINH"
2839136,"Regular","HO CHI MINH"
2839141,"Regular","NAM DINH"
2839191,"Regular","No Info"
2839197,"Regular","HA NOI"
2165130,"Regular","DONG NAI"
2165181,"Regular","HA NOI"
2165183,"Regular","HA NOI"
2165218,"Regular","HA NOI"
216516,"Regular","BAC NINH"
2165261,"Regular","HO CHI MINH"
2171918,"Regular","HA NOI"
2171937,"Regular","HA NOI"
2171943,"Regular","HAI PHONG"
2171984,"Regular","VINH PHUC"
2839222,"Regular","HA NOI"
2845596,"Regular","No Info"
2845606,"Regular","HO CHI MINH"
2845620,"Regular","HA NOI"
2845624,"Regular","DONG NAI"
2845642,"Regular","DONG NAI"
2845715,"Regular","AN GIANG"
2845731,"Regular","QUANG BINH"
2196349,"Regular","HA NOI"
2196374,"Regular","HA NOI"
219630,"Regular","NAM DINH"
2196408,"Regular","HA NOI"
2196426,"Regular","HA NOI"
2196461,"Regular","HAI PHONG"
2196484,"Regular","HO CHI MINH"
2196511,"Regular","THANH HOA"
2196520,"Regular","HA NOI"
2838992,"Regular","THANH HOA"
2839015,"Regular","HA NOI"
2839047,"Regular","QUANG NINH"
2839050,"Regular","No Info"
2839073,"Regular","HO CHI MINH"
1016403,"Regular","HAI PHONG"
1085775,"Regular","NAM DINH"
2165393,"Regular","HA NOI"
2165421,"Regular","HA NOI"
2165424,"Regular","HA NOI"
2165434,"Regular","HA NOI"
2165435,"Regular","HA NOI"
2165502,"Regular","HA NOI"
2165517,"Regular","AN GIANG"
2165556,"Regular","QUANG NINH"
1025811,"Regular","HA NOI"
102574,"Regular","NGHE AN"
2183677,"Regular","DA NANG"
2183715,"Regular","HO CHI MINH"
2183742,"Regular","HO CHI MINH"
2183762,"Regular","HA NOI"
2183767,"Regular","HA NOI"
2183800,"Regular","HA NOI"
2233800,"Regular","BINH DUONG"
2233918,"Regular","HO CHI MINH"
2233921,"Regular","LONG AN"
2143584,"Regular","DONG NAI"
2143627,"Regular","HO CHI MINH"
2143651,"Regular","HO CHI MINH"
2143681,"Regular","HA NOI"
2143699,"Regular","NGHE AN"
2140569,"Regular","HA NOI"
2140616,"Regular","HAI PHONG"
2140633,"Regular","HO CHI MINH"
2140639,"Regular","No Info"
2140645,"Regular","HA NOI"
2183860,"Regular","BAC GIANG"
2233685,"Regular","BAC GIANG"
2233727,"Regular","HA NOI"
2233730,"Regular","HOA BINH"
2175748,"Regular","HO CHI MINH"
1053414,"Regular","HA NOI"
1053479,"Regular","HO CHI MINH"
2233684,"Regular","QUANG NINH"
2233709,"Regular","HA NOI"
2233773,"Regular","HA NOI"
2233787,"Regular","VINH PHUC"
2233796,"Regular","QUANG NINH"
2233811,"Regular","HA NOI"
2233916,"Regular","HA NOI"
2233940,"Regular","HA NOI"
2233967,"Regular","HA NOI"
2838663,"Regular","No Info"
2838671,"Regular","HA NOI"
1029793,"Regular","HA NOI"
101428,"Regular","THANH HOA"
1014392,"Regular","QUANG NINH"
1014408,"Regular","HA NOI"
101433,"Regular","NHA TRANG"
1014503,"Regular","THAI BINH"
1014509,"Regular","QUANG BINH"
1014515,"Regular","HA NOI"
101447,"Regular","HO CHI MINH"
1019541,"Regular","HA NOI"
1019560,"Regular","HA NOI"
101949,"Regular","HO CHI MINH"
101952,"Regular","HA NOI"
1035810,"Regular","HA NOI"
1035886,"Regular","HO CHI MINH"
1035888,"Regular","NGHE AN"
103586,"Regular","HO CHI MINH"
1035992,"Regular","HA TINH"
1036025,"Regular","HO CHI MINH"
1036069,"Regular","HO CHI MINH"
103599,"Regular","HA NOI"
1036082,"Regular","HO CHI MINH"
1019641,"Regular","HA NOI"
1041290,"Regular","BAC GIANG"
1018525,"Regular","HA NOI"
1571668,"Regular","AN GIANG"
104766,"Regular","THUA THIEN HUE"
1047797,"Regular","HA NOI"
104099,"Regular","HO CHI MINH"
1041122,"Regular","HA NOI"
1041127,"Regular","HO CHI MINH"
1041132,"Regular","HA NOI"
1041139,"Regular","HO CHI MINH"
1041162,"Regular","HA NOI"
1041170,"Regular","LONG AN"
1041206,"Regular","HO CHI MINH"
157163,"Regular","HA NOI"
1571734,"Regular","HA NOI"
1571755,"Regular","HA NOI"
157168,"Regular","HA NOI"
1577995,"Regular","HA NOI"
1578065,"Regular","HA NOI"
1578095,"Regular","HO CHI MINH"
1578203,"Regular","HA NOI"
1552702,"Regular","HO CHI MINH"
1552811,"Regular","HA NOI"
1552862,"Regular","HA NOI"
1552870,"Regular","HO CHI MINH"
1552883,"Regular","HO CHI MINH"
155281,"Regular","HO CHI MINH"
1552910,"Regular","THUA THIEN HUE"
1552925,"Regular","NGHE AN"
1553077,"Regular","HA NOI"
1602987,"Regular","HO CHI MINH"
1602988,"Regular","HA NOI"
1603000,"Regular","VINH PHUC"
1041544,"Regular","HA NOI"
2845608,"Regular","HA NOI"
284552,"Regular","HO CHI MINH"
2845638,"Regular","HA NOI"
157136,"Regular","NGHE AN"
1571451,"Regular","HA NOI"
157142,"Regular","HO CHI MINH"
1571514,"Regular","HO CHI MINH"
1067092,"Regular","HA NOI"
1067093,"Regular","HA NOI"
1005108,"Regular","HO CHI MINH"
100504,"Regular","HAI PHONG"
1005138,"Regular","HO CHI MINH"
1005185,"Regular","HO CHI MINH"
1005188,"Regular","HO CHI MINH"
1019712,"Regular","HO CHI MINH"
1019754,"Regular","BAC GIANG"
1019799,"Regular","BAC GIANG"
1019818,"Regular","HA NOI"
1019872,"Regular","HA NOI"
1019910,"Regular","HA NOI"
1019925,"Regular","HO CHI MINH"
1035876,"Regular","HA NOI"
1035932,"Regular","HA NOI"
1035939,"Regular","HA NOI"
1003894,"Regular","HO CHI MINH"
1004255,"Regular","HO CHI MINH"
1004257,"Regular","HO CHI MINH"
1019747,"Regular","HA NOI"
101967,"Regular","NHA TRANG"
1019778,"Regular","HO CHI MINH"
1019795,"Regular","KIEN GIANG"
1004663,"Regular","HO CHI MINH"
1004676,"Regular","HA NOI"
1019958,"Regular","HOA BINH"
1003921,"Regular","HO CHI MINH"
1004206,"Regular","HO CHI MINH"
1004209,"Regular","HO CHI MINH"
1004282,"Regular","HA NOI"
1004316,"Regular","HO CHI MINH"
1004262,"Regular","HO CHI MINH"
1004296,"Regular","QUANG BINH"
1004330,"Regular","HO CHI MINH"
1004387,"Regular","HO CHI MINH"
1004397,"Regular","HO CHI MINH"
1004414,"Regular","HO CHI MINH"
1004442,"Regular","HOA BINH"
1036135,"Regular","HO CHI MINH"
1014501,"Regular","HA NOI"
1014552,"Regular","HO CHI MINH"
1014572,"Regular","QUANG BINH"
101941,"Regular","DA NANG"
1019521,"Regular","HA NOI"
1038703,"Regular","HA NOI"
1011711,"Regular","HO CHI MINH"
1011737,"Regular","HO CHI MINH"
1011751,"Regular","HO CHI MINH"
1016640,"Regular","QUANG NINH"
1016659,"Regular","HA NOI"
1016718,"Regular","KIEN GIANG"
1053463,"Regular","VINH LONG"
1053501,"Regular","HA NOI"
1053547,"Regular","HA NOI"
1577840,"Regular","HO CHI MINH"
1577850,"Regular","HO CHI MINH"
1005201,"Regular","HO CHI MINH"
1005203,"Regular","HO CHI MINH"
1005217,"Regular","HO CHI MINH"
1067248,"Regular","HA NOI"
1067324,"Regular","HA NOI"
1005265,"Regular","HO CHI MINH"
1005274,"Regular","HO CHI MINH"
1005276,"Regular","HO CHI MINH"
1005293,"Regular","HO CHI MINH"
1005299,"Regular","HO CHI MINH"
100522,"Regular","HO CHI MINH"
1005316,"Regular","HO CHI MINH"
107276,"Regular","HO CHI MINH"
1072851,"Regular","HO CHI MINH"
1072858,"Regular","HO CHI MINH"
1072911,"Regular","THUA THIEN HUE"
1072939,"Regular","HO CHI MINH"
1072987,"Regular","HO CHI MINH"
1025629,"Regular","HO CHI MINH"
1025661,"Regular","HO CHI MINH"
10247,"Regular","HO CHI MINH"
1025794,"Regular","HO CHI MINH"
1025802,"Regular","HO CHI MINH"
1025841,"Regular","HA NOI"
1025874,"Regular","HA NOI"
1073004,"Regular","HA NOI"
1073026,"Regular","HO CHI MINH"
1073030,"Regular","HA TINH"
1073049,"Regular","HA NOI"
1073151,"Regular","HA NOI"
107307,"Regular","HO CHI MINH"
107310,"Regular","QUANG NINH"
1025929,"Regular","HA NOI"
1025932,"Regular","HA NOI"
102594,"Regular","DA NANG"
1010786,"Regular","HA NOI"
1010855,"Regular","QUANG NINH"
1010866,"Regular","HA NOI"
1010870,"Regular","NGHE AN"
1010895,"Regular","HA NOI"
1010897,"Regular","LONG AN"
101081,"Regular","VINH PHUC"
1010910,"Regular","HA NOI"
107322,"Regular","HAI PHONG"
1006867,"Regular","HA NOI"
1006876,"Regular","CAN THO"
1006885,"Regular","HO CHI MINH"
1006894,"Regular","CAN THO"
1006896,"Regular","HO CHI MINH"
1006913,"Regular","HO CHI MINH"
1011759,"Regular","HO CHI MINH"
1011778,"Regular","HO CHI MINH"
1011786,"Regular","HO CHI MINH"
1011796,"Regular","HO CHI MINH"
1011804,"Regular","HO CHI MINH"
1011814,"Regular","HO CHI MINH"
1011816,"Regular","HO CHI MINH"
1052074,"Regular","HA NOI"
1052145,"Regular","QUANG NINH"
1052165,"Regular","HA NOI"
10512,"Regular","HO CHI MINH"
1052218,"Regular","HA NOI"
1052277,"Regular","HA NOI"
1071384,"Regular","HO CHI MINH"
1071386,"Regular","DA NANG"
1071434,"Regular","HO CHI MINH"
107142,"Regular","HO CHI MINH"
1011835,"Regular","HO CHI MINH"
1011837,"Regular","HO CHI MINH"
1016494,"Regular","HA NOI"
1016533,"Regular","NAM DINH"
1016572,"Regular","HA NOI"
1013212,"Regular","HAI PHONG"
1013250,"Regular","HO CHI MINH"
1002516,"Regular","HA NOI"
1006405,"Regular","HO CHI MINH"
1006412,"Regular","HO CHI MINH"
1006419,"Regular","HO CHI MINH"
1006428,"Regular","HO CHI MINH"
1012993,"Regular","HA NOI"
1013021,"Regular","HA NOI"
1013038,"Regular","HA NOI"
1013051,"Regular","HA NOI"
1071903,"Regular","HA NOI"
101102,"Regular","THUA THIEN HUE"
1011123,"Regular","HA NOI"
10102,"Regular","HO CHI MINH"
1011200,"Regular","HA NOI"
1011255,"Regular","HO CHI MINH"
1011279,"Regular","HA NOI"
1011294,"Regular","HAI PHONG"
1011345,"Regular","HA NOI"
1011346,"Regular","HO CHI MINH"
1003335,"Regular","HO CHI MINH"
1003368,"Regular","HO CHI MINH"
1003379,"Regular","HO CHI MINH"
1003386,"Regular","HO CHI MINH"
1003412,"Regular","AN GIANG"
1047818,"Regular","HA NOI"
1047822,"Regular","HA NOI"
1047845,"Regular","HA NOI"
1000085,"Regular","HA NOI"
1000114,"Regular","HA NOI"
1000147,"Regular","NHA TRANG"
1000165,"Regular","HA NOI"
1000167,"Regular","HA NOI"
100008,"Regular","HA NOI"
1000250,"Regular","HO CHI MINH"
1000285,"Regular","HO CHI MINH"
1014568,"Regular","HA NOI"
1036507,"Regular","HO CHI MINH"
3783266,"Regular","No Info"
3783301,"Regular","HA NOI"
3783336,"Regular","BINH DUONG"
3783359,"Regular","HA NOI"
3783380,"Regular","HA NOI"
101979,"Regular","DA NANG"
1019909,"Regular","PHU THO"
1019914,"Regular","HO CHI MINH"
1019926,"Regular","BAC GIANG"
1019936,"Regular","HO CHI MINH"
1019959,"Regular","HA NOI"
1020140,"Regular","BINH DUONG"
1020145,"Regular","HO CHI MINH"
1020147,"Regular","BINH DUONG"
1026003,"Regular","VINH PHUC"
103226,"Regular","THUA THIEN HUE"
1032353,"Regular","HA NOI"
1032359,"Regular","DA NANG"
1032360,"Regular","HAI PHONG"
1032430,"Regular","NGHE AN"
1032477,"Regular","HA NOI"
1092529,"Regular","DA NANG"
109250,"Regular","HA NOI"
1092605,"Regular","HA NOI"
1005904,"Regular","HO CHI MINH"
1005913,"Regular","HO CHI MINH"
105837,"Regular","HA NOI"
1092608,"Regular","KIEN GIANG"
1017572,"Regular","HA NOI"
1017701,"Regular","HAI PHONG"
1017708,"Regular","HO CHI MINH"
3784589,"Regular","No Info"
3784598,"Regular","No Info"
3753277,"Regular","No Info"
3753283,"Regular","VINH LONG"
3753291,"Regular","NGHE AN"
3770440,"Regular","HO CHI MINH"
1026393,"Regular","HA NOI"
1026416,"Regular","HA NOI"
1026479,"Regular","HA NOI"
102639,"Regular","HO CHI MINH"
2167938,"Regular","HA NOI"
2167967,"Regular","HA NOI"
2167987,"Regular","HO CHI MINH"
2167994,"Regular","HA NOI"
2168023,"Regular","HO CHI MINH"
216794,"Regular","THANH HOA"
2168043,"Regular","HA NOI"
217476,"Regular","HO CHI MINH"
2174870,"Regular","DA NANG"
2174873,"Regular","HA NOI"
2174886,"Regular","HO CHI MINH"
2174930,"Regular","HAI PHONG"
2174932,"Regular","AN GIANG"
2174951,"Regular","HA NOI"
2823761,"Regular","QUANG TRI"
2823801,"Regular","THANH HOA"
2829418,"Regular","QUANG NINH"
2829430,"Regular","DONG THAP"
2829459,"Regular","No Info"
2829479,"Regular","HAI PHONG"
282948,"Regular","THAI BINH"
2829592,"Regular","BINH DUONG"
1001530,"Regular","HO CHI MINH"
1006030,"Regular","THUA THIEN HUE"
1086351,"Regular","DONG NAI"
